,id,revenue,sales,customers,price
348,OK2015,1588067,20691105,277386,7.68
349,OR2015,1410427,16021066,229116,8.8
350,PA2015,4199202,43745173,690881,9.6
351,RI2015,584484,3704812,58903,15.78
352,SC2015,2239686,21927007,357724,10.21
353,SD2015,434765,4748637,69872,9.16
354,TN2015,3553029,34981552,476405,10.16
355,TX2015,11115260,136323562,1425780,8.15
356,UT2015,1001542,11614593,121310,8.62
357,VA2015,3969545,48347037,428369,8.21
358,VT2015,292344,2010568,53610,14.54
359,WA2015,2405629,29266512,365095,8.22
360,WI2015,2561808,23514103,347456,10.89
361,WV2015,671690,7800740,141681,8.61
362,WY2015,358000,3924590,57686,9.12
363,US2015,144781453,1360751527,17985690,10.64
364,AK2014,472078,2761518,51017,17.09
365,AL2014,2473586,22929309,360901,10.79
366,AR2014,964795,11988033,185842,8.05
367,AZ2014,2967741,29289879,312221,10.13
368,CA2014,18663231,119494062,1676201,15.62
369,CO2014,2029053,20129360,360237,10.08
370,CT2014,2004629,12893531,155372,15.55
371,DC2014,1042419,8548237,26463,12.19
372,DE2014,440657,4197298,52203,10.5
373,FL2014,9169986,92925670,1180768,9.87
374,GA2014,4827025,46608275,552712,10.36
375,HI2014,1095476,3201898,60679,34.21
376,IA2014,1070319,12339098,224187,8.67
377,ID2014,476481,6127911,104463,7.78
378,IL2014,4687910,50619480,600246,9.26
379,IN2014,2403018,24129606,348699,9.96
380,KS2014,1558211,15382745,226043,10.13
381,KY2014,1807976,19156540,297182,9.44
382,LA2014,2229210,24492775,297789,9.1
383,MA2014,3827051,26076208,398717,14.68
384,MD2014,3324584,29804342,248362,11.15
385,ME2014,506147,3984570,91541,12.7
386,MI2014,4060031,37348927,522422,10.87
387,MN2014,2249026,22827840,284978,9.85
388,MO2014,2728701,30665251,371495,8.9
389,MS2014,1525368,14174583,230416,10.76
390,MT2014,472750,4903160,103132,9.64
391,NC2014,4157748,47509563,655841,8.75
392,ND2014,474723,5403497,67871,8.79
393,NE2014,831284,9525524,151382,8.73
394,NH2014,640173,4464530,105840,14.34
395,NJ2014,5015629,38154090,511335,13.15
396,NM2014,921898,8976354,139873,10.27
397,NV2014,892029,9418091,157984,9.47
398,NY2014,12340776,76540813,1045571,16.12
399,OH2014,4618293,47004594,619293,9.83
400,OK2014,1654314,20448774,275276,8.09
401,OR2014,1403691,16039418,229832,8.75
402,PA2014,4215606,43347918,690549,9.73
403,RI2014,532579,3657679,58346,14.56
404,SC2014,2225574,21655593,349432,10.28
405,SD2014,406420,4572324,69703,8.89
406,TN2014,3476761,33497350,471794,10.38
407,TX2014,11379847,139432095,1432478,8.16
408,UT2014,943134,11053251,117921,8.53
409,VA2014,3892715,47751655,422931,8.15
410,VT2014,295698,2030520,52453,14.56
411,WA2014,2313564,29040310,359219,7.97
412,WI2014,2558476,23757494,345907,10.77
413,WV2014,629468,7876429,140698,7.99
414,WY2014,355296,4000291,58178,8.88
415,US2014,145253154,1352158263,17853995,10.74
416,AK2013,440007,2824199,49182,15.58
417,AL2013,2376592,22603229,358712,10.51
418,AR2013,957321,11897953,182941,8.05
419,AZ2013,2957978,30039018,308857,9.85
420,CA2013,16597851,116857853,1691627,14.2
421,CO2013,1982037,20098218,358800,9.86
422,CT2013,1903714,13009103,150419,14.63
423,DC2013,1014908,8499143,26530,11.94
424,DE2013,423911,4157793,51673,10.2
425,FL2013,8653405,92144612,1175896,9.39
426,GA2013,4529223,45353153,554350,9.99
427,HI2013,1113961,3271200,60467,34.05
428,IA2013,1049965,12444635,222065,8.44
429,ID2013,460410,6250297,103400,7.37
430,IL2013,4110781,50472706,596672,8.14
431,IN2013,2328248,24252010,346933,9.6
432,KS2013,1475546,15245028,224515,9.68
433,KY2013,1798004,21004194,297108,8.56
434,LA2013,2173960,24253945,281835,8.96
435,MA2013,2521429,17713103,391856,14.23
436,MD2013,3201690,29966199,247168,10.68
437,ME2013,471461,4015604,89336,11.74
438,MI2013,4170783,37697520,520327,11.06
439,MN2013,2170780,23041186,281187,9.42
440,MO2013,2686659,30515252,371712,8.8
441,MS2013,1433114,14187814,228508,10.1
442,MT2013,466259,4889642,101216,9.54
443,NC2013,4085188,46648766,654747,8.76
444,ND2013,476912,5685146,66801,8.39
445,NE2013,807459,9387074,148648,8.6
446,NH2013,610718,4516866,105461,13.52
447,NJ2013,4883739,38231099,482105,12.77
448,NM2013,874970,8982563,138801,9.74
449,NV2013,838527,9301939,158355,9.01
450,NY2013,11721657,76342319,1040398,15.35
451,OH2013,4367476,46717859,613964,9.35
452,OK2013,1541200,19843129,271698,7.77
453,OR2013,1395822,16080354,235191,8.68
454,PA2013,3990880,43145011,689355,9.25
455,RI2013,473699,3667095,58317,12.92
456,SC2013,2086085,21120198,346026,9.88
457,SD2013,396838,4661845,69446,8.51
458,TN2013,3356761,33574605,469382,10.0
459,TX2013,10944864,136516037,1366825,8.02
460,UT2013,915606,11007765,116263,8.32
461,VA2013,3820166,47750595,422713,8.0
462,VT2013,295636,2016501,51733,14.66
463,WA2013,2307207,29658670,360855,7.78
464,WI2013,2542086,23658373,341657,10.75
465,WV2013,636469,7793517,139514,8.17
466,WY2013,348530,4066842,58015,8.57
467,US2013,137188490,1337078777,17679562,10.26
468,AK2012,429152,2875038,48790,14.93
469,AL2012,2318146,21799181,357395,10.63
470,AR2012,933567,12102048,181823,7.71
471,AZ2012,2829551,29692256,305250,9.53
472,CA2012,16327164,121791536,1834779,13.41
473,CO2012,1878364,19997226,348752,9.39
474,CT2012,1901294,12976050,150435,14.65
475,DC2012,1047560,8713337,26547,12.02
476,DE2012,429799,4243028,51056,10.13
477,FL2012,8894821,92037801,1160572,9.66
478,GA2012,4400045,45937150,547610,9.58
479,HI2012,1129545,3238180,60109,34.88
480,IA2012,977690,12209804,221154,8.01
481,ID2012,410328,5978118,102319,6.86
482,IL2012,4058476,50807913,590142,7.99
483,IN2012,2195779,24022068,344453,9.14
484,KS2012,1427425,15455686,223822,9.24
485,KY2012,1637229,18755918,298211,8.73
486,LA2012,1879856,24244733,279613,7.75
487,MA2012,2453106,17722811,389272,13.84
488,MD2012,3141296,30107526,246868,10.43
489,ME2012,467228,4053188,89048,11.53
490,MI2012,4211356,38514266,521091,10.93
491,MN2012,1988679,22495804,278466,8.84
492,MO2012,2499371,30482745,373022,8.2
493,MS2012,1266977,13584638,227384,9.33
494,MT2012,448886,4917509,101530,9.13
495,NC2012,4029839,46510125,652401,8.66
496,ND2012,409867,5108616,63160,8.02
497,NE2012,773868,9232889,147463,8.38
498,NH2012,598371,4478420,104978,13.36
499,NJ2012,4898822,38340478,489943,12.78
500,NM2012,854645,9165533,137413,9.32
501,NV2012,822471,9314611,155927,8.83
502,NY2012,11445525,76017962,1038268,15.06
503,OH2012,4428644,46755882,613259,9.47
504,OK2012,1461115,19961143,268014,7.32
505,OR2012,1313512,15803814,237780,8.31
506,PA2012,4050398,42919768,687750,9.44
507,RI2012,431952,3639866,57824,11.87
508,SC2012,2045995,21250734,342761,9.63
509,SD2012,368926,4556608,68880,8.1
510,TN2012,2901670,28150141,466513,10.31
511,TX2012,10856843,133104994,1355155,8.16
512,UT2012,870218,10802800,115880,8.06
513,VA2012,3777882,46756658,419052,8.08
514,VT2012,285449,1993892,51216,14.32
515,WA2012,2244298,29239604,356028,7.68
516,WI2012,2441891,23232827,341896,10.51
517,WV2012,653726,7762823,138687,8.42
518,WY2012,349824,4245450,59268,8.24
519,US2012,133898441,1327101196,17729029,10.09
520,AK2011,430938,2854410,48503,15.1
521,AL2011,2331377,22257127,356074,10.47
522,AR2011,911067,12146130,180291,7.5
523,AZ2011,2802810,29512330,305340,9.5
524,CA2011,16018054,122780917,1818049,13.05
525,CO2011,1877996,19889231,347903,9.44
526,CT2011,2037918,13087010,150087,15.57
527,DC2011,1157023,8965834,26496,12.9
528,DE2011,453159,4259842,50369,10.64
529,FL2011,9039755,91778108,1139656,9.85
530,GA2011,4631317,46930109,548674,9.87
531,HI2011,1090424,3368131,60043,32.37
532,IA2011,949311,12087902,219229,7.85
533,ID2011,382926,5969462,101424,6.41
534,IL2011,4361216,50468038,587337,8.64
535,IN2011,2115538,24111250,343626,8.77
536,KS2011,1370351,15609278,221844,8.78
537,KY2011,1589301,18721081,294450,8.49
538,LA2011,2050406,24280780,277004,8.44
539,MA2011,2546764,17766602,389864,14.33
540,MD2011,3467869,30749605,245003,11.28
541,ME2011,493871,4018070,88791,12.29
542,MI2011,3988981,38612718,521322,10.33
543,MN2011,1929925,22371109,276286,8.63
544,MO2011,2490868,30962081,370920,8.04
545,MS2011,1302168,13737924,226136,9.48
546,MT2011,445957,4892271,101512,9.12
547,NC2011,3779923,46467228,644926,8.13
548,ND2011,370084,4866230,60017,7.61
549,NE2011,729849,9139410,148927,7.99
550,NH2011,628829,4478106,104610,14.04
551,NJ2011,5267798,39117745,481663,13.47
552,NM2011,840053,9257633,136678,9.07
553,NV2011,814444,8995162,155395,9.05
554,NY2011,12079373,76405800,1035992,15.81
555,OH2011,4534851,47111763,611235,9.63
556,OK2011,1489888,19612922,264782,7.6
557,OR2011,1284342,15754249,238908,8.15
558,PA2011,4365429,43535836,684757,10.03
559,RI2011,452707,3660143,57409,12.37
560,SC2011,2007503,21592794,340193,9.3
561,SD2011,344870,4446864,68775,7.76
562,TN2011,2980031,29025334,463992,10.27
563,TX2011,11315395,128213690,1363629,8.83
564,UT2011,775447,10544326,122363,7.35
565,VA2011,3742884,47051425,414137,7.95
566,VT2011,281101,2008547,50796,14.0
567,WA2011,2203291,29408904,354185,7.49
568,WI2011,2403002,23054970,340623,10.42
569,WV2011,632491,7767926,137965,8.14
