id,revenue,sales,customers,price
TN2016,1337298,23545648,1193,5.68
TX2016,6041600,113402713,105552,5.33
UT2016,581252,9186991,9570,6.33
VA2016,1156879,17648014,3708,6.56
VT2016,147875,1446003,230,10.23
WA2016,1138532,25678420,29012,4.43
WI2016,1801630,24037811,5537,7.5
WV2016,845770,12874895,11704,6.57
WY2016,695166,10041482,10654,6.92
US2016,66068075,976715181,838059,6.76
AK2015,196314,1351529,1299,14.53
AL2015,2021316,33499182,7254,6.03
AR2015,998757,16038092,35868,6.23
AZ2015,932651,14891564,7759,6.26
CA2015,6394328,52562210,148069,12.17
CO2015,1129021,15258761,16229,7.4
CT2015,444588,3432002,4458,12.95
DC2015,20928,238232,1,8.78
DE2015,201235,2430122,858,8.28
FL2015,1388136,16897415,19457,8.22
GA2015,1887035,32134396,20685,5.87
HI2015,852083,3695554,740,23.06
IA2015,1255122,21289184,7645,5.9
ID2015,576477,8740479,27531,6.6
IL2015,2875406,43130671,5997,6.67
IN2015,3294957,48030120,18213,6.86
KS2015,854187,11227106,24155,7.61
KY2015,1660850,30281328,7392,5.48
LA2015,1900895,35123169,19646,5.41
MA2015,1068927,7892165,14100,13.54
MD2015,331187,3883315,8821,8.53
ME2015,290360,3208045,2993,9.05
MI2015,2154662,30677019,6041,7.02
MN2015,1506272,21453040,9812,7.02
MO2015,1096388,17036256,10218,6.44
MS2015,1032686,15738746,10860,6.56
MT2015,238769,4487603,9710,5.32
NC2015,1804121,27701168,10284,6.51
ND2015,563700,6987538,8158,8.07
NE2015,808820,10655107,60556,7.59
NH2015,252331,1981028,3277,12.74
NJ2015,778985,7320398,12191,10.64
NM2015,479753,7574783,9348,6.33
NV2015,948626,14058811,3682,6.75
NY2015,1140573,18079200,7630,6.31
OH2015,3548736,50556675,19151,7.02
OK2015,964329,18029456,18688,5.35
OR2015,773009,12949776,25242,5.97
PA2015,3411815,47404272,23731,7.2
RI2015,109866,798532,1853,13.76
SC2015,1774038,29342051,4290,6.05
SD2015,204932,2782017,3748,7.37
TN2015,1418464,22983145,1245,6.17
TX2015,6161020,110182265,105936,5.59
UT2015,580074,9404984,9570,6.17
VA2015,1218736,17537165,3714,6.95
VT2015,146022,1421601,231,10.27
WA2015,1164912,26772299,29163,4.35
WI2015,1816081,23969851,5529,7.58
WV2015,795823,13064835,11949,6.09
WY2015,697582,10323470,10559,6.76
US2015,68165883,986507732,835536,6.91
AK2014,212988,1359680,1287,15.66
AL2014,2130887,34634820,7236,6.15
AR2014,1002428,16650718,35685,6.02
AZ2014,947683,14661727,7710,6.46
CA2014,6525678,52898430,146944,12.34
CO2014,1129370,15110188,19234,7.47
CT2014,453957,3514798,4648,12.92
DC2014,20367,242149,1,8.41
DE2014,214197,2496338,862,8.58
FL2014,1306052,16522425,18779,7.9
GA2014,2115659,31849136,20300,6.64
HI2014,1114946,3689784,716,30.22
IA2014,1166905,20436173,7399,5.71
ID2014,573888,8970460,27127,6.4
IL2014,3037246,44329683,6098,6.85
IN2014,3419485,49088427,18106,6.97
KS2014,896511,11493909,26787,7.8
KY2014,1832517,32282616,7376,5.68
LA2014,2099881,34723345,19553,6.05
MA2014,1014262,7960941,14896,12.74
MD2014,347692,3847954,8780,9.04
ME2014,300412,3357486,3023,8.95
MI2014,2491113,32445935,13289,7.68
MN2014,1551691,23076348,9898,6.72
MO2014,1106218,17398747,10282,6.36
MS2014,1077019,16311951,10922,6.6
MT2014,232314,4229989,9597,5.49
NC2014,1751829,26964549,10356,6.5
ND2014,569870,7478721,8607,7.62
NE2014,797052,10668406,57429,7.47
NH2014,234900,1969064,3342,11.93
NJ2014,855757,7516616,12313,11.38
NM2014,497592,7526898,9112,6.61
NV2014,977320,13732695,3691,7.12
NY2014,1184255,18002976,7862,6.58
OH2014,3440917,50829251,19209,6.77
OK2014,1038884,17773456,18238,5.85
OR2014,755416,12654475,23356,5.97
PA2014,3580987,48317693,24222,7.41
RI2014,114111,887150,1884,12.86
SC2014,1839963,29248186,4566,6.29
SD2014,206414,2955034,3801,6.99
TN2014,1548714,24182470,1271,6.4
TX2014,6727425,109165495,101641,6.16
UT2014,606015,9965115,9658,6.08
VA2014,1219659,17700993,3653,6.89
VT2014,145111,1417994,224,10.23
WA2014,1211294,28012775,30308,4.32
WI2014,1790586,23811549,5465,7.52
WV2014,753085,12828949,12146,5.87
WY2014,686237,10381471,10323,6.61
US2014,70854754,997576138,839212,7.1
AK2013,212159,1340047,1314,15.83
AL2013,2014487,33870219,7029,5.95
AR2013,999852,16565377,34699,6.04
AZ2013,833358,12519417,7618,6.66
CA2013,6222066,54396999,159483,11.44
CO2013,1082995,14752859,16172,7.34
CT2013,439987,3490140,4568,12.61
DC2013,12590,227385,1,5.54
DE2013,220967,2620050,848,8.43
FL2013,1246783,16389522,17865,7.61
GA2013,1972453,31443424,18981,6.27
HI2013,1082194,3623111,694,29.87
IA2013,1104037,19634715,8412,5.62
ID2013,568510,9338497,26847,6.09
IL2013,2637816,44386770,6498,5.94
IN2013,3201509,47807527,18162,6.7
KS2013,813904,11009366,26394,7.39
KY2013,2094351,36971550,7185,5.66
LA2013,1825435,30833438,19019,5.92
MA2013,2169240,16463343,16594,13.18
MD2013,329886,3943942,8788,8.36
ME2013,265002,3177140,2962,8.34
MI2013,2416682,31321534,13419,7.72
MN2013,1587306,22734273,11383,6.98
MO2013,1104696,17551296,10274,6.29
MS2013,1022567,16131761,7165,6.34
MT2013,229520,4229061,8692,5.43
NC2013,1732933,26872437,10276,6.45
ND2013,378338,5308975,6683,7.13
NE2013,837384,11251372,56365,7.44
NH2013,224839,1972539,3371,11.4
NJ2013,816914,7565722,12369,10.8
NM2013,462597,7278476,8676,6.36
NV2013,896458,13758569,3783,6.52
NY2013,1179389,17910950,7960,6.58
OH2013,3196429,51387011,19360,6.22
OK2013,927308,16886075,18471,5.49
OR2013,707974,12209593,23392,5.8
PA2013,3347992,48043117,24601,6.97
RI2013,109106,922911,1913,11.82
SC2013,1722902,28669378,4479,6.01
SD2013,189746,2723804,3535,6.97
TN2013,1412984,22461702,1191,6.29
TX2013,5920133,101967843,95881,5.81
UT2013,587626,10010410,9629,5.87
VA2013,1136239,17150375,3585,6.63
VT2013,156753,1445776,223,10.84
WA2013,1152363,27234626,27808,4.23
WI2013,1729642,23369748,4725,7.4
WV2013,745335,12020526,12314,6.2
WY2013,652083,10157176,10134,6.42
US2013,67933816,985351874,831790,6.89
AK2012,232325,1381177,1263,16.82
AL2012,2100936,33751106,7168,6.22
AR2012,971266,16847755,33926,5.77
AZ2012,813094,12448117,7740,6.53
CA2012,4925482,46951714,73805,10.49
CO2012,1070816,15415235,16017,6.95
CT2012,451910,3565944,4647,12.67
DC2012,11919,218376,1,5.46
DE2012,230215,2754621,854,8.36
FL2012,1319868,16425581,17414,8.04
GA2012,1866393,31224600,17335,5.98
HI2012,1128570,3661679,706,30.82
IA2012,1033194,19511683,7255,5.3
ID2012,524514,9574392,26523,5.48
IL2012,2625085,45277444,6042,5.8
IN2012,3053069,48167545,18525,6.34
KS2012,782714,11041111,25017,7.09
KY2012,2364592,44195865,7134,5.35
LA2012,1448981,30448836,18143,4.76
MA2012,2127180,16927205,21145,12.57
MD2012,364075,4499827,8941,8.09
ME2012,241624,3027135,2780,7.98
MI2012,2427143,31835905,13074,7.62
MN2012,1530592,23415791,11010,6.54
MO2012,1036772,17594410,8901,5.89
MS2012,1048844,16810329,7125,6.24
MT2012,212720,4167509,7268,5.1
NC2012,1727483,26896123,10399,6.42
ND2012,335697,5123582,4602,6.55
NE2012,834871,11914907,54160,7.01
NH2012,231041,1952633,3444,11.83
NJ2012,816326,7762331,12729,10.52
NM2012,422675,7249215,8238,5.83
NV2012,890523,13734461,3748,6.48
NY2012,917700,13705330,8144,6.7
OH2012,3328313,53379284,19602,6.24
OK2012,842885,16569801,18242,5.09
OR2012,670720,12005579,23303,5.59
PA2012,3472258,48038858,24963,7.23
RI2012,98597,923478,1927,10.68
SC2012,1695628,28163956,4392,6.02
SD2012,178980,2723870,2891,6.57
TN2012,2015274,28475956,1957,7.08
TX2012,5265840,94517323,92377,5.57
UT2012,544855,9694190,9417,5.62
VA2012,1162772,17315739,3973,6.72
VT2012,141870,1421589,221,9.98
WA2012,1138881,27578904,27690,4.13
WI2012,1730531,23560910,4572,7.34
WV2012,750338,11855567,12472,6.33
WY2012,603310,10009376,9163,6.03
US2012,65761258,985713854,732385,6.67
AK2011,209034,1330708,1250,15.71
