id,revenue,sales,customers,price
WI2013,2993098,22095922,2619676,13.55
WV2013,1103102,11581825,863641,9.52
WY2013,287380,2829496,263614,10.16
US2013,169130640,1394812129,127777153,12.13
AK2012,386304,2160196,275405,17.88
AL2012,3491380,30632261,2150977,11.4
AR2012,1664696,17909301,1332154,9.3
AZ2012,3718357,32922970,2585638,11.29
CA2012,13821565,90109995,13101887,15.34
CO2012,2087889,18220365,2149637,11.46
CT2012,2212594,12757633,1454651,17.34
DC2012,245940,2002527,231550,12.28
DE2012,614037,4521682,399998,13.58
FL2012,12806820,112127056,8645207,11.42
GA2012,5996286,53660167,4071478,11.17
HI2012,1022944,2739298,419612,37.34
IA2012,1513376,13987613,1334596,10.82
ID2012,707181,8159349,673368,8.67
IL2012,5335088,46901870,5098647,11.38
IN2012,3469890,32963522,2755595,10.53
KS2012,1551102,13796679,1217256,11.24
KY2012,2460674,26096707,1924644,9.43
LA2012,2514353,30026588,1995661,8.37
MA2012,3029292,20313469,2699141,14.91
MD2012,3424556,26678158,2212287,12.84
ME2012,656822,4480736,703770,14.66
MI2012,4871034,34461140,4250620,14.13
MN2012,2504491,22059631,2317336,11.35
MO2012,3491827,34336615,2699287,10.17
MS2012,1846707,17992708,1256392,10.26
MT2012,481814,4778365,473033,10.08
NC2012,5962720,54671521,4230588,10.91
ND2012,406332,4484758,342549,9.06
NE2012,972315,9680143,806524,10.04
NH2012,713388,4439208,601697,16.07
NJ2012,4523770,28662958,3455302,15.78
NM2012,769384,6763820,859281,11.38
NV2012,1433832,12122718,1080583,11.83
NY2012,8929713,50691506,7010740,17.62
OH2012,6148489,52287769,4869305,11.76
OK2012,2168292,22809680,1679296,9.51
OR2012,1848670,18854659,1642444,9.8
PA2012,6741627,52876058,5261381,12.75
RI2012,449604,3121367,435448,14.4
SC2012,3338098,28366263,2113144,11.77
SD2012,448375,4453732,378633,10.07
TN2012,4015594,39753631,2721099,10.1
TX2012,15087710,137411633,9802110,10.98
UT2012,912330,9188204,966063,9.93
VA2012,4822893,43534675,3248518,11.08
VT2012,356325,2095283,309019,17.01
WA2012,3028281,35510961,2852760,8.53
WI2012,2905404,22026353,2609168,13.19
WV2012,1102691,11194679,865673,9.85
WY2012,267506,2716528,261191,9.85
US2012,163280360,1374514708,126832343,11.88
AK2011,376005,2134422,273855,17.62
AL2011,3661470,33002815,2142625,11.09
AR2011,1693836,18787349,1328286,9.02
AZ2011,3666153,33079074,2575586,11.08
CA2011,13060946,88398416,13002980,14.78
CO2011,2059155,18276799,2141780,11.27
CT2011,2338980,12918796,1453864,18.11
DC2011,276154,2061392,229450,13.4
DE2011,634568,4632094,398109,13.7
FL2011,13388983,116341105,8575892,11.51
GA2011,6383601,57749519,4056147,11.05
HI2011,1015685,2928743,417531,34.68
IA2011,1499148,14326771,1329905,10.46
ID2011,660576,8389866,667243,7.87
IL2011,5545106,47057002,5089449,11.78
IN2011,3410413,33912098,2744879,10.06
KS2011,1527025,14343748,1215411,10.65
KY2011,2502968,27197836,1928523,9.2
LA2011,2869880,32019040,1979175,8.96
MA2011,3003305,20472512,2693548,14.67
MD2011,3634386,27295675,2208015,13.31
ME2011,674079,4381536,701335,15.38
MI2011,4621167,34811337,4249136,13.27
MN2011,2469487,22523727,2308736,10.96
MO2011,3502911,35941243,2693261,9.75
MS2011,1966085,19336430,1251640,10.17
MT2011,479166,4913110,469963,9.75
NC2011,5954615,58055878,4201898,10.26
ND2011,390772,4552228,330738,8.58
NE2011,927342,9946973,805671,9.32
NH2011,735832,4454088,599532,16.52
NJ2011,4772503,29398870,3457325,16.23
NM2011,755858,6873748,856128,11.0
NV2011,1334069,11493279,1067944,11.61
NY2011,9356966,51239599,6987631,18.26
OH2011,6133425,53687111,4874482,11.42
OK2011,2313030,24425027,1667223,9.47
OR2011,1852603,19429175,1633551,9.54
PA2011,7265435,54795633,5249827,13.26
RI2011,448530,3129446,432430,14.33
SC2011,3404928,30801731,2101585,11.05
SD2011,434655,4646384,374260,9.35
TN2011,4298018,43067861,2708113,9.98
TX2011,16141983,145654228,9621481,11.08
UT2011,801966,8946741,946468,8.96
VA2011,4871349,45771144,3225395,10.64
VT2011,345525,2124533,308992,16.26
WA2011,3010493,36376143,2837631,8.28
WI2011,2884512,22149941,2601879,13.02
WV2011,1103040,11746151,868036,9.39
WY2011,255263,2802726,258528,9.11
US2011,166713948,1422801093,126143072,11.72
AK2010,340340,2093217,271956,16.26
AL2010,3790734,35529292,2138911,10.67
AR2010,1702938,19230961,1322833,8.86
AZ2010,3558161,32448138,2554213,10.97
CA2010,12873565,87256946,12947917,14.75
CO2010,1997858,18102386,2128507,11.04
CT2010,2514466,13065275,1451808,19.25
DC2010,297450,2123312,227550,14.01
DE2010,657103,4759973,396114,13.8
FL2010,13982240,122244650,8529204,11.44
GA2010,6198370,61554498,4054145,10.07
HI2010,840072,2989499,414568,28.1
IA2010,1516862,14554888,1327896,10.42
ID2010,649759,8136736,664717,7.99
IL2010,5599019,48582984,5070056,11.52
IN2010,3350355,35058372,2742789,9.56
KS2010,1437102,14334086,1213036,10.03
KY2010,2496770,29136518,1930666,8.57
LA2010,2935169,32678931,1973174,8.98
MA2010,3124528,21409005,2674717,14.59
MD2010,4142935,28934074,2200368,14.32
ME2010,687037,4371835,699625,15.72
MI2010,4320775,34680715,4245158,12.46
MN2010,2379113,22464797,2300291,10.59
MO2010,3385582,37302279,2695809,9.08
MS2010,1991612,20174826,1250149,9.87
MT2010,434420,4742794,467878,9.16
NC2010,6288493,62160107,4185540,10.12
ND2010,357052,4392596,326409,8.13
NE2010,903393,10106673,801101,8.94
NH2010,732038,4485469,597411,16.32
NJ2010,5021997,30307268,3454840,16.57
NM2010,710548,6752473,853811,10.52
NV2010,1435699,11614669,1058519,12.36
NY2010,9547884,50945648,6954916,18.74
OH2010,6161970,54474377,4877229,11.31
OK2010,2164328,23688861,1660653,9.14
OR2010,1671727,18838666,1629076,8.87
PA2010,7017223,55252837,5244278,12.7
RI2010,496481,3117808,430623,15.92
SC2010,3449574,32852086,2089302,10.5
SD2010,415338,4628123,370566,8.97
TN2010,4172362,45191027,2704054,9.23
TX2010,15905877,137161402,9536778,11.6
UT2010,769145,8834230,936602,8.71
VA2010,5061603,48438958,3258959,10.45
VT2010,331390,2127935,307839,15.57
WA2010,2805591,34906926,2825281,8.04
WI2010,2820621,22299493,2594698,12.65
WV2010,1094174,12442583,867948,8.79
WY2010,239198,2727201,257447,8.77
US2010,166778041,1445708403,125717935,11.54
