,id,revenue,sales,customers,price
124,MD2019,42367,575218,5,7.37
125,ME2019,0,0,0,0.0
126,MI2019,671,6353,2,10.56
127,MN2019,2383,25109,1,9.49
128,MO2019,1855,23517,2,7.89
129,MS2019,0,0,0,0.0
130,MT2019,0,0,0,0.0
131,NC2019,1533,18691,1,8.2
132,ND2019,0,0,0,0.0
133,NE2019,0,0,0,0.0
134,NH2019,0,0,0,0.0
135,NJ2019,26513,301402,7,8.8
136,NM2019,0,0,0,0.0
137,NV2019,683,8027,1,8.51
138,NY2019,346400,2820065,8,12.28
139,OH2019,2574,37708,2,6.83
140,OK2019,0,0,0,0.0
141,OR2019,2461,26941,2,9.14
142,PA2019,44937,618767,6,7.26
143,RI2019,4994,27005,1,18.49
144,SC2019,0,0,0,0.0
145,SD2019,0,0,0,0.0
146,TN2019,0,0,0,0.0
147,TX2019,12022,186616,3,6.44
148,UT2019,5498,51748,1,10.62
149,VA2019,15690,189794,1,8.27
150,VT2019,0,0,0,0.0
151,WA2019,9341,98861,5,9.45
152,WI2019,171,1234,2,13.85
153,WV2019,0,0,0,0.0
154,WY2019,0,0,0,0.0
155,US2019,737452,7632150,83,9.66
156,AK2018,0,0,0,0.0
157,AL2018,0,0,0,0.0
158,AR2018,50,438,2,11.35
159,AZ2018,803,8014,2,10.02
160,CA2018,64821,749882,12,8.64
161,CO2018,8371,92970,1,9.0
162,CT2018,23296,181498,4,12.84
163,DC2018,32125,336781,3,9.54
164,DE2018,0,0,0,0.0
165,FL2018,6854,82939,2,8.26
166,GA2018,9354,169502,1,5.52
167,HI2018,0,0,0,0.0
168,IA2018,0,0,0,0.0
169,ID2018,0,0,0,0.0
170,IL2018,37205,551353,3,6.75
171,IN2018,2213,21191,1,10.44
172,KS2018,0,0,0,0.0
173,KY2018,0,0,0,0.0
174,LA2018,1189,12915,1,9.21
175,MA2018,22255,348572,2,6.38
176,MD2018,39440,530275,5,7.44
177,ME2018,0,0,0,0.0
178,MI2018,730,6783,2,10.76
179,MN2018,2475,25832,1,9.58
180,MO2018,2008,23575,2,8.52
181,MS2018,0,0,0,0.0
182,MT2018,0,0,0,0.0
183,NC2018,1042,12988,1,8.02
184,ND2018,0,0,0,0.0
185,NE2018,0,0,0,0.0
186,NH2018,0,0,0,0.0
187,NJ2018,28094,309902,6,9.07
188,NM2018,0,0,0,0.0
189,NV2018,694,8351,1,8.31
